Time,Tair_mean,Tfuel_mean,rhoAir_mean,rhoFuel_mean,nuAir_mean,nuFuel_mean,kAir_mean,kFuel_mean,Nern_max,ibar,Energy_t_mean,mean_curr,V
158,1090.82,1092.995,0.3208361,0.03610655,0.000142022,0.000834102,0.07531472,0.3184888,1.061141,4999.852,1092.438,5213.004,0.8790147
159,1090.819,1092.995,0.3208362,0.0361065,0.000142022,0.000834102,0.07531471,0.318489,1.06114,4999.847,1092.437,5212.997,0.8790131
160,1090.819,1092.994,0.3208364,0.03610646,0.000142022,0.000834102,0.07531468,0.3184892,1.061141,4999.847,1092.437,5212.994,0.8790116
161,1090.819,1092.994,0.3208364,0.03610642,0.000142022,0.000834102,0.07531467,0.3184894,1.06114,4999.851,1092.437,5212.994,0.8790101
162,1090.818,1092.994,0.3208365,0.03610639,0.000142022,0.000834102,0.07531465,0.3184895,1.061141,4999.857,1092.437,5212.998,0.8790087
163,1090.818,1092.993,0.3208365,0.03610636,0.000142022,0.000834102,0.07531465,0.3184897,1.06114,4999.866,1092.436,5213.005,0.8790074
164,1090.818,1092.993,0.3208365,0.03610633,0.000142022,0.000834102,0.07531464,0.3184898,1.061141,4999.878,1092.436,5213.014,0.8790061
165,1090.818,1092.993,0.3208365,0.03610631,0.000142022,0.000834102,0.07531465,0.3184899,1.06114,4999.889,1092.436,5213.024,0.879005
166,1090.818,1092.993,0.3208365,0.03610629,0.000142022,0.000834102,0.07531463,0.31849,1.06114,4999.902,1092.436,5213.035,0.8790041
167,1090.818,1092.993,0.3208365,0.03610626,0.000142022,0.000834102,0.07531464,0.3184901,1.061139,4999.915,1092.436,5213.046,0.8790032
168,1090.818,1092.993,0.3208366,0.03610625,0.000142022,0.000834102,0.07531463,0.3184901,1.061139,4999.927,1092.436,5213.058,0.8790025
169,1090.818,1092.992,0.3208365,0.03610623,0.000142022,0.000834102,0.07531464,0.3184902,1.061139,4999.939,1092.436,5213.069,0.8790019
170,1090.818,1092.992,0.3208365,0.03610621,0.000142022,0.000834102,0.07531463,0.3184903,1.061139,4999.95,1092.436,5213.08,0.8790014
171,1090.818,1092.992,0.3208365,0.03610619,0.000142022,0.000834103,0.07531463,0.3184904,1.061138,4999.959,1092.435,5213.09,0.879001
172,1090.818,1092.992,0.3208366,0.03610618,0.000142022,0.000834103,0.07531462,0.3184904,1.061138,4999.967,1092.435,5213.098,0.8790006
173,1090.818,1092.992,0.3208366,0.03610616,0.000142022,0.000834103,0.07531462,0.3184905,1.061138,4999.973,1092.435,5213.104,0.8790004
174,1090.818,1092.992,0.3208366,0.03610614,0.000142022,0.000834103,0.07531462,0.3184906,1.061138,4999.978,1092.435,5213.11,0.8790002
175,1090.818,1092.991,0.3208366,0.03610611,0.000142022,0.000834103,0.07531461,0.3184907,1.061137,4999.982,1092.435,5213.114,0.879
176,1090.817,1092.991,0.3208366,0.03610609,0.000142022,0.000834103,0.0753146,0.3184908,1.061138,4999.985,1092.435,5213.118,0.8789998
177,1090.817,1092.991,0.3208366,0.03610607,0.000142022,0.000834103,0.07531461,0.3184909,1.061137,4999.985,1092.434,5213.119,0.8789997
178,1090.817,1092.991,0.3208367,0.03610604,0.000142022,0.000834103,0.07531459,0.318491,1.061137,4999.985,1092.434,5213.12,0.8789995
179,1090.817,1092.99,0.3208367,0.03610602,0.000142022,0.000834103,0.07531458,0.3184911,1.061137,4999.983,1092.434,5213.119,0.8789994
180,1090.817,1092.99,0.3208369,0.03610599,0.000142022,0.000834102,0.07531456,0.3184912,1.061137,4999.98,1092.434,5213.117,0.8789992
181,1090.817,1092.99,0.3208369,0.03610596,0.000142022,0.000834103,0.07531455,0.3184914,1.061137,4999.976,1092.433,5213.113,0.8789989
182,1090.816,1092.989,0.320837,0.03610593,0.000142022,0.000834102,0.07531453,0.3184915,1.061137,4999.973,1092.433,5213.11,0.8789986
183,1090.816,1092.989,0.320837,0.0361059,0.000142022,0.000834102,0.07531453,0.3184916,1.061136,4999.969,1092.432,5213.107,0.8789983
